season	club	ppm
1970	Real Zaragoza	0.6
1970	Elche	0.7333333333333333
1970	Las Palmas	0.8333333333333334
1970	Sabadell	0.9666666666666667
1970	Espanyol	1.1
1970	Sporting de Gijon	1.1666666666666667
1970	CD Malaga	1.2
1970	Granada	1.2666666666666666
1970	Real Sociedad	1.3
1970	Sevilla	1.5
1970	Athletic Club	1.6333333333333333
1970	Celta de Vigo	1.6666666666666667
1970	Real Madrid	1.9333333333333333
1970	Atletico de Madrid	1.9666666666666666
1970	Valencia	2.033333333333333
1970	Barcelona	2.066666666666667
1971	Sabadell	0.8823529411764706
1971	Cordoba	0.9117647058823529
1971	Sevilla	1.0588235294117647
1971	Betis	1.1764705882352942
1971	Burgos	1.1764705882352942
1971	Deportivo	1.2058823529411764
1971	Celta de Vigo	1.2647058823529411
1971	CD Malaga	1.2941176470588236
1971	Espanyol	1.2941176470588236
1971	Sporting de Gijon	1.2941176470588236
1971	Real Sociedad	1.411764705882353
1971	Athletic Club	1.4411764705882353
1971	Granada	1.4705882352941178
1971	Las Palmas	1.5588235294117647
1971	Atletico de Madrid	1.5588235294117647
1971	Barcelona	1.7647058823529411
1971	Valencia	1.8823529411764706
1971	Real Madrid	1.9411764705882353
1972	Burgos	0.9705882352941176
1972	Deportivo	1
1972	Betis	1.0294117647058822
1972	Granada	1.1176470588235294
1972	Real Oviedo	1.1470588235294117
1972	Celta de Vigo	1.1470588235294117
1972	Sporting de Gijon	1.1764705882352942
1972	Las Palmas	1.2352941176470589
1972	Real Zaragoza	1.2941176470588236
1972	CD Malaga	1.2941176470588236
1972	Athletic Club	1.3235294117647058
1972	Valencia	1.3529411764705883
1972	Real Sociedad	1.3823529411764706
1972	Castellon	1.411764705882353
1972	Real Madrid	1.7647058823529411
1972	Espanyol	1.8235294117647058
1972	Barcelona	1.8823529411764706
1972	Atletico de Madrid	2
1973	Real Oviedo	0.9705882352941176
1973	Racing de Santander	1.0294117647058822
1973	Castellon	1.1176470588235294
1973	Murcia	1.1470588235294117
1973	Elche	1.1764705882352942
1973	Celta de Vigo	1.2352941176470589
1973	Sporting de Gijon	1.2647058823529411
1973	Valencia	1.3529411764705883
1973	Las Palmas	1.3823529411764706
1973	Espanyol	1.3823529411764706
1973	Real Madrid	1.3823529411764706
1973	CD Malaga	1.411764705882353
1973	Granada	1.411764705882353
1973	Athletic Club	1.5294117647058822
1973	Real Sociedad	1.6176470588235294
1973	Real Zaragoza	1.6470588235294117
1973	Atletico de Madrid	1.7647058823529411
1973	Barcelona	2.088235294117647
1974	Murcia	0.8823529411764706
1974	Celta de Vigo	1.1764705882352942
1974	Granada	1.2058823529411764
1974	Sporting de Gijon	1.2647058823529411
1974	CD Malaga	1.2941176470588236
1974	Las Palmas	1.2941176470588236
1974	Valencia	1.2941176470588236
1974	Salamanca	1.3235294117647058
1974	Athletic Club	1.3529411764705883
1974	Atletico de Madrid	1.3529411764705883
1974	Elche	1.3823529411764706
1974	Espanyol	1.3823529411764706
1974	Hercules	1.3823529411764706
1974	Betis	1.411764705882353
1974	Real Sociedad	1.411764705882353
1974	Barcelona	1.5294117647058822
1974	Real Zaragoza	1.5588235294117647
1974	Real Madrid	2.0588235294117645
1975	Sporting de Gijon	0.9117647058823529
1975	Granada	1
1975	Elche	1.0588235294117647
1975	Real Oviedo	1.1176470588235294
1975	Real Zaragoza	1.2058823529411764
1975	Las Palmas	1.2352941176470589
1975	Valencia	1.2941176470588236
1975	Sevilla	1.3235294117647058
1975	Racing de Santander	1.3529411764705883
1975	Salamanca	1.3529411764705883
1975	Real Sociedad	1.3529411764705883
1975	Hercules	1.411764705882353
1975	Betis	1.4705882352941178
1975	Athletic Club	1.5588235294117647
1975	Espanyol	1.7058823529411764
1975	Atletico de Madrid	1.7647058823529411
1975	Barcelona	1.7941176470588236
1975	Real Madrid	2
1976	CD Malaga	0.7058823529411765
1976	Celta de Vigo	1.1176470588235294
1976	Real Zaragoza	1.1764705882352942
1976	Racing de Santander	1.2647058823529411
1976	Hercules	1.2647058823529411
1976	Elche	1.2941176470588236
1976	Sevilla	1.3235294117647058
1976	Salamanca	1.3235294117647058
1976	Burgos	1.3529411764705883
1976	Real Madrid	1.3529411764705883
1976	Real Sociedad	1.3823529411764706
1976	Valencia	1.4411764705882353
1976	Espanyol	1.4705882352941178
1976	Betis	1.5
1976	Las Palmas	1.5
1976	Athletic Club	1.5588235294117647
1976	Barcelona	1.8529411764705883
1976	Atletico de Madrid	1.911764705882353
1977	Cadiz	0.8529411764705882
1977	Elche	1.1176470588235294
1977	Hercules	1.1764705882352942
1977	Burgos	1.2058823529411764
1977	Betis	1.2058823529411764
1977	Racing de Santander	1.2352941176470589
1977	Espanyol	1.2352941176470589
1977	Rayo Vallecano	1.3235294117647058
1977	Real Sociedad	1.3235294117647058
1977	Sevilla	1.3823529411764706
1977	Las Palmas	1.3823529411764706
1977	Salamanca	1.411764705882353
1977	Atletico de Madrid	1.5294117647058822
1977	Sporting de Gijon	1.588235294117647
1977	Valencia	1.6176470588235294
1977	Athletic Club	1.6470588235294117
1977	Barcelona	1.6764705882352942
1977	Real Madrid	2.0294117647058822
1978	Recreativo de Huelva	0.8529411764705882
1978	Racing de Santander	0.9117647058823529
1978	Celta de Vigo	1.088235294117647
1978	Rayo Vallecano	1.1176470588235294
1978	Burgos	1.2352941176470589
1978	Real Zaragoza	1.2352941176470589
1978	Hercules	1.3235294117647058
1978	Sevilla	1.3235294117647058
1978	Athletic Club	1.3529411764705883
1978	Salamanca	1.3823529411764706
1978	Valencia	1.4411764705882353
1978	Espanyol	1.4705882352941178
1978	Las Palmas	1.5
1978	Barcelona	1.588235294117647
1978	Atletico de Madrid	1.6176470588235294
1978	Real Sociedad	1.7352941176470589
1978	Sporting de Gijon	1.7647058823529411
1978	Real Madrid	1.8529411764705883
1979	Burgos	0.7352941176470589
1979	CD Malaga	0.9090909090909091
1979	Rayo Vallecano	1.0294117647058822
1979	Hercules	1.0588235294117647
1979	Espanyol	1.1470588235294117
1979	AD Almeria	1.2424242424242424
1979	Atletico de Madrid	1.2058823529411764
1979	Las Palmas	1.3235294117647058
1979	Real Zaragoza	1.3529411764705883
1979	Salamanca	1.3823529411764706
1979	Betis	1.411764705882353
1979	Sevilla	1.411764705882353
1979	Valencia	1.411764705882353
1979	Athletic Club	1.4705882352941178
1979	Barcelona	1.5
1979	Sporting de Gijon	1.6176470588235294
1979	Real Sociedad	2.088235294117647
1979	Real Madrid	2.2058823529411766
1980	AD Almeria	0.7352941176470589
1980	Salamanca	0.8235294117647058
1980	Murcia	0.9117647058823529
1980	Real Zaragoza	1.1176470588235294
1980	Las Palmas	1.1764705882352942
1980	Hercules	1.1764705882352942
1980	Valladolid	1.1764705882352942
1980	Osasuna	1.2941176470588236
1980	Espanyol	1.411764705882353
1980	Athletic Club	1.4411764705882353
1980	Sevilla	1.5
1980	Sporting de Gijon	1.5294117647058822
1980	Betis	1.6764705882352942
1980	Atletico de Madrid	1.7058823529411764
1980	Valencia	1.7352941176470589
1980	Barcelona	1.7352941176470589
1980	Real Sociedad	1.8823529411764706
1980	Real Madrid	1.911764705882353
1981	Castellon	0.4411764705882353
1981	Hercules	1.1176470588235294
1981	Sporting de Gijon	1.1470588235294117
1981	Las Palmas	1.1764705882352942
1981	Cadiz	1.2352941176470589
1981	Racing de Santander	1.2941176470588236
1981	Espanyol	1.3235294117647058
1981	Valladolid	1.3823529411764706
1981	Real Zaragoza	1.3823529411764706
1981	Osasuna	1.411764705882353
1981	Atletico de Madrid	1.4411764705882353
1981	Sevilla	1.4705882352941178
1981	Betis	1.5
1981	Valencia	1.6470588235294117
1981	Athletic Club	1.7058823529411764
1981	Real Madrid	1.8235294117647058
1981	Barcelona	1.8823529411764706
